,Month,Day,Tp,Tmax,Tmin,HR,SolRad,UV,RS
0,1,1,23.26,23.58,22.99,84.38,620.73,27.97,654.6
1,1,2,25.52,25.98,25.14,75.91,604.51,28.19,638.3
2,1,3,26.16,26.43,25.88,82.48,612.91,28.55,646.7
3,1,4,23.96,24.35,23.61,94.67,642.45,31.02,709.0
4,1,5,21.46,21.97,21.25,99.04,699.52,26.62,713.0
5,1,6,21.97,22.48,21.58,97.71,762.66,27.36,756.0
6,1,7,20.63,21.27,20.35,100.0,675.48,25.62,663.4
7,1,8,19.7,19.99,19.46,98.43,794.52,30.75,817.0
8,1,9,20.56,20.8,20.32,95.4,687.35,28.97,676.7
9,1,10,22.35,22.78,22.1,88.06,672.0,29.61,666.9
10,1,11,22.27,22.83,21.99,79.6,689.09,29.88,691.8
11,1,12,23.25,23.66,22.93,84.79,673.74,28.52,676.9
12,1,13,24.84,25.23,24.57,86.43,687.64,29.24,686.6
13,1,14,24.69,25.26,24.36,79.34,689.38,30.58,690.1
14,1,15,25.31,25.44,25.18,84.8,753.1,31.26,704.0
15,1,16,23.61,24.18,23.35,76.86,705.02,30.68,702.0
16,1,17,27.39,27.73,27.06,83.94,689.67,31.78,695.5
17,1,18,29.89,30.27,29.64,79.58,751.65,32.41,766.0
18,1,19,29.79,30.21,29.56,62.1,689.96,31.78,704.0
19,1,20,28.94,29.32,28.7,80.29,700.39,31.79,709.0
20,1,21,28.96,29.17,28.76,79.72,702.99,32.14,720.0
21,1,22,30.04,30.4,29.66,87.82,722.4,32.51,737.0
22,1,23,30.47,30.94,30.16,68.47,723.85,32.03,738.0
23,1,24,25.52,25.96,25.23,80.76,738.62,32.74,725.0
24,1,25,24.04,24.32,23.74,79.96,713.42,32.26,776.0
25,1,26,24.66,25.0,24.41,82.71,707.34,31.42,730.0
26,1,27,25.92,26.22,25.82,74.34,738.91,32.15,757.0
27,1,28,28.13,28.54,27.89,57.18,726.16,31.24,746.0
28,1,29,28.77,29.18,28.46,81.82,717.77,31.81,747.0
29,1,30,28.26,28.73,28.05,78.62,713.13,32.51,739.0
30,1,31,29.2,29.69,28.87,63.6,722.4,32.85,746.0
31,2,1,18.68,19.57,18.34,79.8,779.17,33.45,843.0
32,2,2,18.96,19.4,18.71,82.32,773.96,32.51,782.0
