,Month,Day,Hour,Tp,Tmax,Tmin,HR,SolRad,UV,RS
0,1,1,6,1.7,2.05,1.37,78.94,0.29,0.0,0.0
1,1,1,7,1.49,1.98,1.11,81.99,23.58,0.49,12.93
2,1,1,8,5.53,6.53,4.44,68.43,173.38,5.14,153.12
3,1,1,9,11.11,12.0,10.4,48.14,331.63,12.66,342.72
4,1,1,10,15.48,16.24,14.64,36.65,483.22,16.86,427.34
5,1,1,11,18.0,18.56,17.56,29.83,583.61,21.24,519.09
6,1,1,12,19.68,20.18,19.21,26.12,618.1,23.25,555.49
7,1,1,13,21.34,21.73,20.93,22.82,591.02,23.06,540.84
8,1,1,14,22.38,22.87,22.0,20.52,504.0,19.58,461.99
9,1,1,15,22.97,23.33,22.68,18.98,364.67,13.62,343.06
10,1,1,16,23.01,23.34,22.74,18.95,197.93,7.79,222.13
11,1,1,17,20.11,20.93,19.28,23.49,45.5,1.46,45.19
12,1,1,18,15.78,16.15,15.35,31.23,0.29,0.0,0.0
13,1,2,6,2.16,2.37,1.85,73.29,0.29,0.0,0.0
14,1,2,7,2.42,2.96,2.1,74.39,23.37,0.5,13.18
15,1,2,8,6.48,7.34,5.69,61.61,170.66,5.16,149.63
16,1,2,9,11.76,12.57,10.81,45.43,323.93,12.68,332.75
17,1,2,10,16.6,17.25,15.83,34.75,473.15,17.15,420.27
18,1,2,11,19.84,20.33,19.31,31.69,576.41,21.9,512.51
19,1,2,12,22.67,23.16,22.17,29.29,601.3,23.97,544.26
20,1,2,13,24.21,24.82,23.66,29.82,569.66,22.69,521.87
21,1,2,14,24.86,25.22,24.46,30.96,489.68,18.96,444.69
22,1,2,15,25.37,25.7,25.0,27.14,359.07,13.43,336.63
23,1,2,16,24.26,24.67,23.96,26.51,197.26,7.74,222.05
24,1,2,17,21.3,22.09,20.51,31.33,45.55,1.5,45.97
25,1,2,18,17.21,17.55,16.91,39.35,0.29,0.0,0.0
26,1,3,6,4.08,4.68,3.51,79.61,0.36,0.0,0.0
27,1,3,7,4.68,5.13,4.31,75.49,23.92,0.5,13.17
28,1,3,8,8.25,9.19,7.29,64.86,172.32,5.27,152.85
29,1,3,9,15.12,16.13,14.07,48.99,330.84,12.88,340.8
30,1,3,10,19.87,20.46,19.32,39.37,477.11,17.5,427.76
31,1,3,11,23.29,23.91,22.81,33.34,571.76,22.33,513.9
32,1,3,12,25.24,25.68,24.89,28.75,609.38,24.32,548.6
33,1,3,13,25.54,26.02,25.1,27.8,579.14,23.36,532.19
34,1,3,14,25.96,26.3,25.59,27.66,491.96,19.53,453.26
35,1,3,15,25.67,26.04,25.33,28.35,358.55,13.54,335.97
36,1,3,16,25.29,25.64,24.97,28.28,193.78,7.84,218.92
37,1,3,17,22.41,23.15,21.63,35.0,41.35,1.54,43.62
38,1,3,18,18.66,19.23,18.03,40.81,0.29,0.0,0.0
39,1,4,6,8.86,8.98,8.74,77.98,0.29,0.0,0.0
40,1,4,7,8.57,8.97,8.4,76.48,14.17,0.46,7.73
41,1,4,8,12.03,12.94,11.35,63.87,143.69,4.88,119.78
42,1,4,9,16.46,17.14,15.77,48.36,318.48,12.99,328.13
43,1,4,10,20.07,20.57,19.62,40.96,468.3,17.76,418.43
44,1,4,11,22.2,22.62,21.91,40.49,571.08,22.71,509.2
45,1,4,12,23.32,23.82,22.95,39.22,604.05,24.58,540.13
46,1,4,13,23.26,23.66,22.74,42.01,279.98,12.55,243.2
47,1,4,14,22.05,22.63,21.65,54.34,345.44,12.55,274.0
48,1,4,15,22.25,22.53,21.87,50.9,117.67,6.55,120.59
49,1,4,16,19.63,20.16,19.01,69.13,26.14,2.15,33.21
50,1,4,17,17.11,17.38,16.88,87.31,13.42,0.52,22.55
51,1,4,18,16.42,16.52,16.37,93.99,0.29,0.0,0.01
52,1,5,6,13.77,13.92,13.56,96.95,0.41,0.0,0.0
53,1,5,7,12.81,13.03,12.66,98.57,9.22,0.39,6.67
54,1,5,8,13.72,13.92,13.49,97.45,66.69,2.94,70.63
55,1,5,9,15.08,15.37,14.8,93.62,135.61,4.97,125.08
56,1,5,10,17.26,17.67,16.85,84.63,314.76,9.42,252.77
57,1,5,11,18.52,18.96,18.09,78.63,352.8,16.16,464.27
